,Date,User,Tweet,Like,Reply,Retweet,Quote
47,2022-01-12 22:57:16+00:00,harimako21,"Haha makasabi naman ng bobita. Kung kay @lenirobredo ako nagmana ng pagiging bobita, okay lang. sampalin pa kita ng grades kong de flat 1.0. Eh ikaw, kanino ka nagmana? Kay #Narcos na peke ang diploma? Haha https://t.co/hyHE2xN057 qqqqq",8,0,0,0
48,2022-01-12 22:56:46+00:00,cianley_js,"nakakatawa si Gov nagpost sa fb ng internal survey daw wherein, panalo si BBM. ""destiny daw manalo ni BBM"". pero dinelete yung twitter survey kasi si Leni panalo. buti na lang matatalino yung mga Caviteño sa replies.

mind conditioning pa more. lol.
#LeniKiko2022 qqqqq",0,0,0,0
49,2022-01-12 22:56:03+00:00,call_me_YURI_,"BBM vs. LENI
Alam naman nating lahat sinong putak nang putak between the two.
#AnyoneButLeni #ABL #KayMarcosTayo https://t.co/JvT8QTrjMe qqqqq",4,0,2,0
50,2022-01-12 22:55:11+00:00,moveslikejangan,Pota akala ko Pau Gasol 4 Leni haha https://t.co/TawVVambFZ qqqqq,0,0,0,0
51,2022-01-12 22:51:33+00:00,isabelmerana,It’s a no-brainer!! Syempre kay Vp Leni!! 💖💖💖 https://t.co/wmzSMC0FoN qqqqq,11,1,2,0
52,2022-01-12 22:49:02+00:00,BonenggayG,"That urge to cause testicular trauma to men who wont vote for Leni ""dahil babae sya"". 

Unahin ko na ung nagpa survey sa Cavite. 

#LetLeniLead2022 qqqqq",99,2,21,2
53,2022-01-12 22:48:02+00:00,MaeChatto,"Why did you delete your survey where VP Leni won by a landslide? It has more respondents than your “internal survey” which has 1600. Napahiya lang, gov? Akala ko iba ka sa mga kapatid mo! Such a disappointment. https://t.co/9U5Dok2Zgs https://t.co/aGp86KSs25 qqqqq",1,1,0,0
54,2022-01-12 22:47:44+00:00,djplaza23,"DEAR @lenirobredo 
PAano ""AANGAT ANG BUHAY NG LAHAT""? Kung ikaw ang mamumuno. Eh mismo ikaw SINARAAN mo ang sarili mong BAYAN sa UN....

PAGHILOM OI!!! WA KA KUYAPI!!! qqqqq",24,4,6,2
55,2022-01-12 22:46:52+00:00,todongpnoy,Leni can’t even trust you as the Drug czar. You’re a Traitor the day you badmouth your own country in UN. Firing squad is awarded to a traitor in the military. https://t.co/bZmTwcNzda qqqqq,0,0,0,0
56,2022-01-12 22:39:33+00:00,junepineda8,Obvious namang maka LENI/KIKO ako at buong senatorial slate https://t.co/WrwPBgtlfW qqqqq,5,0,0,0
57,2022-01-12 22:38:34+00:00,dos_beintedos,"Ang daming tanga sa FB. Yung abl na anti leni tuwang tuwa at pwede daw palang may unity kahit iba iba ang gustong pangulo. Ang tatanga po ninyo. Panong unity e naninira nga kayo ng iisang kandidato, si VP Robredo. Walang unity unity kung ang sinusuportahan nyo ay MAGNANAKAW. qqqqq",104,2,12,0
58,2022-01-12 22:35:14+00:00,vinCENTrist,The best thing we can do to eliminate MOCHA Partylist is to vote for those Partylists that supports #LeniKiko2022 #LeniForPresident2022 @lenirobredo @kikopangilinan qqqqq,9,1,0,0
59,2022-01-12 22:34:40+00:00,immabecale,"That Bayanihan E-Konsulta of VP @lenirobredo  is so effective, it has a lot of inquiry and this could become into fruition and can give a lot of work for people if she becomes president. For now, very limited lang muna tinatanggap and for volunteer lang muna sumasagot. qqqqq",0,0,0,0
60,2022-01-12 22:33:05+00:00,todongpnoy,"Thanks for disseminating these partylist post. Keep up your good work campaigning against these communist supporters and no to all who opposed the NTF-ELCAC like Leni, kiko, Dick,Risa and many others. https://t.co/2lRiMBwI1M qqqqq",0,0,0,0
61,2022-01-12 22:31:59+00:00,BongPhillips555,"KAY LENI TAYO
Malinis na pamumuno
Matalinong paggabay sa gobyerno
ANGAT BUHAY LAHAT

SI LENI BAHALA SA IYO.

#LeniForPresident2022 
#LeniKiko2022 
#LetLeniLead2022 https://t.co/1PitP3cbU8 qqqqq",2,0,1,0
62,2022-01-12 22:31:52+00:00,amuseellie,"Saw a facebook comment regarding twitter which speaks a lot even if VP Leni always wins the polls here. Sabi “ Puro Elitista lang doon” which we know isn’t true. I think people need to bring their chaos , their meme’s to FB no matter how mean trolls may get because we have to. qqqqq",1,0,0,0
63,2022-01-12 22:29:08+00:00,MMagillo,"San ka pa Mam Leni na ano sila siniswerte.Dami ng nakulimbat uulit https://t.co/r2uwzDIzJ5 Mam Leni baka nga abonado pa sya sa pagtulong financially, eh yang mga kawatan walang kabusugan mga kampon ng Kadiliman. https://t.co/dVmOnNilha qqqqq",2,0,0,0
64,2022-01-12 22:27:34+00:00,Snowflakes87x,"LENI: Nawala na nga ang maraming miyembro ng Liberal Party.
Well, you're the chairman of the party hahahaha @lenirobredo 
Iniwan ka na ganern? 😜😜😜

#KayMarcosTayo https://t.co/ADuxhHecrV qqqqq",2,0,0,0
65,2022-01-12 22:24:39+00:00,krixxxxxxy,"Are guys voting leni just because you dont like marcos and you have no other choice?
#MarcosMagnanakaw qqqqq",3,6,2,0
66,2022-01-12 22:24:07+00:00,pga1965,"Leni Reifenstahl
Quien dijo que somos racistas?
🖤🤍❤️ https://t.co/ZTxypb86LW qqqqq",9,2,2,0
67,2022-01-12 22:23:14+00:00,VonVladimir3,"Tapos ngayun, ang script na ng mga trolls ay panalo na si Leni dahil siya ang ""nang-hack"". In the event na manalo nga si Leni, malaki chance na maging katulad tayo ng USA nung nanalo si Biden, yung na-raid yung capitol.

Irresponsible journalism, @manilabulletin. 🤮 https://t.co/2PSV41Q0AK qqqqq",1,0,0,0
68,2022-01-12 22:22:59+00:00,mark_mywordsPH,"Dapat ngayong election 2022, may parang sabong talpakan sa mga presidential candidates.

Pwede nating ma compare ilan ang pumusta kay Leni and BBM versus sa actual results sa Comelec. 🤔😂 qqqqq",0,0,0,0
69,2022-01-12 22:21:59+00:00,MalaChinaPalace,"Yung inaakusa nila kay @lenirobredo, sila pala ang gumagawa. https://t.co/eowZQg9eXZ qqqqq",0,0,0,0
